route_id,route_long_name,route_color,trip_id,service_id,direction_id,stop_sequence,stop_name,stop_lat,stop_lon,location_type,shape_pt_sequence,shape_id
1c,pesanggrahan - blok m,d65e62,1c-r02,sh,1,15,bsi 1,-6.237724,106.76225,0,1,1c-r02_shp
1c,pesanggrahan - blok m,d65e62,1c-r02,sh,1,16,sangrila indah 2,-6.237493,106.75906,0,1,1c-r02_shp
1c,pesanggrahan - blok m,d65e62,1c-r01,sh,0,16,jln. damai raya,-6.248569,106.75674,0,1,1c-r01_shp
1c,pesanggrahan - blok m,d65e62,1c-r01,sh,0,17,sbr. jln. h. nian,-6.245178,106.757087,0,1,1c-r01_shp
1c,pesanggrahan - blok m,d65e62,1c-r02,sh,1,17,sbr. jln. durian i,-6.236342,106.75756,0,1,1c-r02_shp
1c,pesanggrahan - blok m,d65e62,1c-r01,sh,0,18,jln. durian 1,-6.236427,106.75785,0,1,1c-r01_shp
1c,pesanggrahan - blok m,d65e62,1c-r02,sh,1,18,gg. masjid nurul jannah,-6.242995,106.759126,0,1,1c-r02_shp
1c,pesanggrahan - blok m,d65e62,1c-r01,sh,0,19,sbr. sangrila indah,-6.237318,106.75925,0,1,1c-r01_shp
1c,pesanggrahan - blok m,d65e62,1c-r02,sh,1,19,jln. masjid al ikhlas petukangan,-6.241838,106.758427,0,1,1c-r02_shp
1c,pesanggrahan - blok m,d65e62,1c-r01,sh,0,2,flyover bintaro,-6.25748,106.76478,0,1,1c-r01_shp
1c,pesanggrahan - blok m,d65e62,1c-r02,sh,1,2,csw 2,-6.239917,106.797801,0,1,1c-r02_shp
1c,pesanggrahan - blok m,d65e62,1c-r02,sh,1,20,sbr. jln. perdana i,-6.243081,106.75677,0,1,1c-r02_shp
1c,pesanggrahan - blok m,d65e62,1c-r01,sh,0,20,jln. swadarma raya,-6.237451,106.76089,0,1,1c-r01_shp
1c,pesanggrahan - blok m,d65e62,1c-r02,sh,1,21,jln. h. nian,-6.245506,106.757121,0,1,1c-r02_shp
1c,pesanggrahan - blok m,d65e62,1c-r01,sh,0,21,bsi 2,-6.237609,106.76252,0,1,1c-r01_shp
1c,pesanggrahan - blok m,d65e62,1c-r02,sh,1,22,jln. merpati raya pesanggrahan,-6.249642,106.75673,0,1,1c-r02_shp
1c,pesanggrahan - blok m,d65e62,1c-r01,sh,0,22,itc cipulir,-6.237701,106.76515,0,1,1c-r01_shp
1c,pesanggrahan - blok m,d65e62,1c-r02,sh,1,23,sbr. jln. salak pesanggrahan,-6.251278,106.75643,0,1,1c-r02_shp
1c,pesanggrahan - blok m,d65e62,1c-r01,sh,0,23,ps. sayur cipulir,-6.237807,106.7674,0,1,1c-r01_shp
1c,pesanggrahan - blok m,d65e62,1c-r02,sh,1,24,sbr. smk kartika x-2,-6.252352,106.75638,0,1,1c-r02_shp
1c,pesanggrahan - blok m,d65e62,1c-r01,sh,0,24,kartini hospital 2,-6.237876,106.76942,0,1,1c-r01_shp
1c,pesanggrahan - blok m,d65e62,1c-r02,sh,1,25,sbr. sd kartika x-2,-6.25399,106.75647,0,1,1c-r02_shp
1c,pesanggrahan - blok m,d65e62,1c-r01,sh,0,25,seskoal 3,-6.237989,106.771629,0,1,1c-r01_shp
1c,pesanggrahan - blok m,d65e62,1c-r01,sh,0,26,seskoal 2,-6.238015,106.77247,0,1,1c-r01_shp
1c,pesanggrahan - blok m,d65e62,1c-r02,sh,1,26,kel. pesanggrahan 2,-6.255333,106.756496,0,1,1c-r02_shp
1c,pesanggrahan - blok m,d65e62,1c-r01,sh,0,27,cipulir 2,-6.237747,106.774871,0,1,1c-r01_shp
1c,pesanggrahan - blok m,d65e62,1c-r02,sh,1,27,kec. pesanggrahan,-6.256912,106.7564,0,1,1c-r02_shp
1c,pesanggrahan - blok m,d65e62,1c-r01,sh,0,28,sbr. jln. makam,-6.238208,106.77737,0,1,1c-r01_shp
