location_name,node_id,node_name,lat,lon,connected_to,distance_km
permata eksekutif 2,8d,joglo - blok m,-6.216798,106.76524,gg. h. ayub,6.97
gg. h. ayub,1e,pondok labu - blok m,-6.270874,106.79762,jln. h. gari,4.51
jln. h. gari,8e,bintaro - blok m,-6.256091,106.75965,gg. h. ayub,4.51
gg. h. ayub,1e,pondok labu - blok m,-6.270874,106.79762,transvision,4.82
transvision,9h,universitas indonesia - blok m,-6.240036,106.82842,gg. h. ayub,4.82
gg. h. ayub,1e,pondok labu - blok m,-6.270874,106.79762,rs mitra keluarga 2,21.86
rs mitra keluarga 2,b13,bekasi barat - blok m,-6.24088,106.99285,gg. h. ayub,21.86
gg. h. ayub,1e,pondok labu - blok m,-6.270874,106.79762,terrace 2 pondok indah,2.54
terrace 2 pondok indah,jak.102,blok m - lebak bulus,-6.26311,106.77598,gg. h. ayub,2.54
gg. h. ayub,1e,pondok labu - blok m,-6.270874,106.79762,grand wijaya dharmawangsa,1.81
grand wijaya dharmawangsa,jak.31,blok m - andara,-6.254752,106.80034,gg. h. ayub,1.81
gg. h. ayub,1e,pondok labu - blok m,-6.270874,106.79762,karet sudirman d-e-f,6.93
karet sudirman d-e-f,m1,blok m - kota,-6.212352,106.819981,gg. h. ayub,6.93
rest area cibubur,1k,cibubur junction - blok m,-6.339993,106.89078,rest area cibubur,5.12
rest area cibubur,1k,cibubur junction - blok m,-6.339993,106.89078,cipulir 1,17.08
cipulir 1,1m,meruya - blok m,-6.237918,106.7749,rest area cibubur,17.08
rest area cibubur,1k,cibubur junction - blok m,-6.339993,106.89078,menara astra,16.53
menara astra,1n,tanah abang - blok m,-6.207361,106.8219,rest area cibubur,16.53
rest area cibubur,1k,cibubur junction - blok m,-6.339993,106.89078,museum kebangkitan,18.72
museum kebangkitan,1p,senen - blok m,-6.178915,106.83877,rest area cibubur,18.72
rest area cibubur,1k,cibubur junction - blok m,-6.339993,106.89078,one park residences,15.41
one park residences,1q,rempoa - blok m,-6.245436,106.78844,rest area cibubur,15.41
rest area cibubur,1k,cibubur junction - blok m,-6.339993,106.89078,patra kuningan,13.53
patra kuningan,6m,stasiun manggarai - blok m,-6.232675,106.832042,rest area cibubur,13.53
rest area cibubur,1k,cibubur junction - blok m,-6.339993,106.89078,pengadilan negeri jaksel 1,10.19
pengadilan negeri jaksel 1,6n,ragunan - blok m via kemang,-6.281672,106.81949,rest area cibubur,10.19
rest area cibubur,1k,cibubur junction - blok m,-6.339993,106.89078,jln. poncol jaya 2,13.68
jln. poncol jaya 2,6u,pasar minggu - blok m,-6.239441,106.81883,rest area cibubur,13.68
rest area cibubur,1k,cibubur junction - blok m,-6.339993,106.89078,rs harapan bunda,4.9
rs harapan bunda,7b,kampung rambutan - blok m,-6.301945,106.868002,rest area cibubur,4.9
rest area cibubur,1k,cibubur junction - blok m,-6.339993,106.89078,kalibata city 1,10.14
kalibata city 1,7q,blok m - pgc,-6.255951,106.85404,rest area cibubur,10.14
rest area cibubur,1k,cibubur junction - blok m,-6.339993,106.89078,permata eksekutif 2,19.46
permata eksekutif 2,8d,joglo - blok m,-6.216798,106.76524,rest area cibubur,19.46
rest area cibubur,1k,cibubur junction - blok m,-6.339993,106.89078,jln. h. gari,17.22
jln. h. gari,8e,bintaro - blok m,-6.256091,106.75965,rest area cibubur,17.22
rest area cibubur,1k,cibubur junction - blok m,-6.339993,106.89078,transvision,13.03
transvision,9h,universitas indonesia - blok m,-6.240036,106.82842,rest area cibubur,13.03
rest area cibubur,1k,cibubur junction - blok m,-6.339993,106.89078,rs mitra keluarga 2,15.74
rs mitra keluarga 2,b13,bekasi barat - blok m,-6.24088,106.99285,rest area cibubur,15.74
rest area cibubur,1k,cibubur junction - blok m,-6.339993,106.89078,terrace 2 pondok indah,15.29
terrace 2 pondok indah,jak.102,blok m - lebak bulus,-6.26311,106.77598,rest area cibubur,15.29
rest area cibubur,1k,cibubur junction - blok m,-6.339993,106.89078,grand wijaya dharmawangsa,13.75
grand wijaya dharmawangsa,jak.31,blok m - andara,-6.254752,106.80034,rest area cibubur,13.75
rest area cibubur,1k,cibubur junction - blok m,-6.339993,106.89078,karet sudirman d-e-f,16.14
karet sudirman d-e-f,m1,blok m - kota,-6.212352,106.819981,rest area cibubur,16.14
cipulir 1,1m,meruya - blok m,-6.237918,106.7749,cipulir 1,5.12
cipulir 1,1m,meruya - blok m,-6.237918,106.7749,menara astra,6.2
menara astra,1n,tanah abang - blok m,-6.207361,106.8219,cipulir 1,6.2
