id,start,end,start_x,start_y,end_x,end_y,length,travel_time
185,8797358690,104363767,106.8023521,-6.1755326,106.8010579,-6.1764802,178,13
186,104363767,1757800703,106.8010579,-6.1764802,106.7976105,-6.1787634,458,33
187,1757800703,104363770,106.7976105,-6.1787634,106.7971931,-6.1790101,54,4
188,104363770,5371876860,106.7971931,-6.1790101,106.7966215,-6.1793177,72,5
189,5371876860,6451500602,106.7966215,-6.1793177,106.7964789,-6.179395,18,1
190,6451500602,5023930574,106.7964789,-6.179395,106.7963678,-6.1794593,14,1
191,5023930574,6776829929,106.7963678,-6.1794593,106.7959825,-6.1796629,48,3
192,6776829929,6776829930,106.7959825,-6.1796629,106.7959055,-6.1796982,9,1
193,6776829930,1757800736,106.7959055,-6.1796982,106.7957569,-6.1797591,18,1
194,1757800736,1757800719,106.7957569,-6.1797591,106.7952981,-6.1800081,58,5
195,1757800719,1757800623,106.7952981,-6.1800081,106.7946826,-6.1805156,88,8
196,1757800623,1757800624,106.7946826,-6.1805156,106.794203,-6.1812299,96,9
197,1757800624,1757800682,106.794203,-6.1812299,106.7928585,-6.1829212,240,11
198,1757800682,316176025,106.7928585,-6.1829212,106.7690614,-6.1899775,2789,123
199,316176025,332526146,106.7690614,-6.1899775,106.7656128,-6.1901392,382,17
200,332526146,316224155,106.7656128,-6.1901392,106.747995,-6.19129,1952,86
201,316224155,1663996343,106.747995,-6.19129,106.7364012,-6.1916339,1283,56
202,1663996343,1663996367,106.7364012,-6.1916339,106.7352565,-6.1917372,129,12
203,1663996367,7265440773,106.7352565,-6.1917372,106.7329449,-6.1938378,383,36
204,7265440773,5487643136,106.7329449,-6.1938378,106.7334401,-6.1954732,191,18
205,5487643136,5487643143,106.7334401,-6.1954732,106.7337043,-6.1963219,99,9
206,5487643143,2600712057,106.7337043,-6.1963219,106.7361401,-6.2011817,604,27
207,2600712057,7209925278,106.7361401,-6.2011817,106.7409562,-6.2103065,1146,52
208,7209925278,2600703941,106.7409562,-6.2103065,106.7438134,-6.215371,646,29
209,2600703941,2600703952,106.7438134,-6.215371,106.7451998,-6.2176779,299,28
210,2600703952,2600699419,106.7451998,-6.2176779,106.7460864,-6.2177067,109,10
211,2600699419,5482010587,106.7460864,-6.2177067,106.746804,-6.2175765,81,15
212,5482010587,5482010590,106.746804,-6.2175765,106.7468356,-6.2177421,19,2
213,5482010590,5482010586,106.7468356,-6.2177421,106.746421,-6.21782,47,8
214,5482010586,2597827552,106.746421,-6.21782,106.7461796,-6.2178712,27,5
215,2597827552,5482009902,106.7461796,-6.2178712,106.7454655,-6.2181725,86,15
216,5482009902,5482009899,106.7454655,-6.2181725,106.7451607,-6.2183445,39,7
217,5482009899,2600699427,106.7451607,-6.2183445,106.7448707,-6.2185178,37,7
218,2600699427,6320055551,106.7448707,-6.2185178,106.7444671,-6.2187697,53,9
219,6320055551,8496179725,106.7444671,-6.2187697,106.7443774,-6.2188227,12,2
220,8496179725,5482010635,106.7443774,-6.2188227,106.7436616,-6.2192454,92,17
221,5482010635,1709453452,106.7436616,-6.2192454,106.7435495,-6.2193054,14,3
222,1709453452,344580098,106.7435495,-6.2193054,106.7421367,-6.2200051,174,31
223,344580098,6320025433,106.7421367,-6.2200051,106.7414179,-6.2203215,87,16
224,6320025433,344580096,106.7414179,-6.2203215,106.7412635,-6.2203757,18,3
225,344580096,1709453459,106.7412635,-6.2203757,106.7395988,-6.220295,186,33
226,1709453459,1709453456,106.7395988,-6.220295,106.7394423,-6.2202806,17,3
227,1709453456,1709453454,106.7394423,-6.2202806,106.7389387,-6.2202529,56,10
228,1709453454,344580094,106.7389387,-6.2202529,106.7374634,-6.220069,164,30
229,344580094,5010893970,106.7374634,-6.220069,106.7372914,-6.2219738,213,32
230,5010893970,344614508,106.7372914,-6.2219738,106.7373139,-6.2228808,101,15
231,344614508,5495204826,106.7373139,-6.2228808,106.7367831,-6.223004,60,9
232,5495204826,1709440072,106.7367831,-6.223004,106.7366655,-6.2230304,13,2
233,1709440072,4908710943,106.7366655,-6.2230304,106.7359696,-6.2230355,77,12
234,4908710943,4908707072,106.7359696,-6.2230355,106.7357073,-6.2230358,29,4
235,4908707072,7259813819,106.7357073,-6.2230358,106.7353664,-6.2230391,38,6
236,7259813819,344614541,106.7353664,-6.2230391,106.7350946,-6.2230451,30,4
237,344614541,344614542,106.7350946,-6.2230451,106.7348132,-6.2230465,31,5
238,344614542,344614543,106.7348132,-6.2230465,106.734494,-6.2230493,35,5
239,344614543,344614544,106.734494,-6.2230493,106.7341874,-6.2230478,34,5
240,344614544,344614545,106.7341874,-6.2230478,106.7338445,-6.2230349,38,6
241,344614545,344614546,106.7338445,-6.2230349,106.7334827,-6.2230319,40,6
242,344614546,344614547,106.7334827,-6.2230319,106.7331754,-6.22303,34,5
243,344614547,344614548,106.7331754,-6.22303,106.7328581,-6.2230262,35,5
244,344614548,4909969152,106.7328581,-6.2230262,106.7326977,-6.2230184,18,3
245,4909969152,5151149849,106.7326977,-6.2230184,106.7325449,-6.2230193,17,3
246,5151149849,344614550,106.7325449,-6.2230193,106.732192,-6.2230118,39,6
247,344614550,344614590,106.732192,-6.2230118,106.7321945,-6.2233982,43,6
248,344614590,357757834,106.7321945,-6.2233982,106.732047,-6.2234052,16,2
249,357757834,344614595,106.732047,-6.2234052,106.7315922,-6.2234416,50,8
250,344614595,344614594,106.7315922,-6.2234416,106.7306627,-6.2235119,103,15
251,344614594,357750873,106.7306627,-6.2235119,106.7303702,-6.223539,32,5
252,357750873,4908706858,106.7303702,-6.223539,106.7294316,-6.223627,104,16
253,4908706858,4095574319,106.7294316,-6.223627,106.7289378,-6.2236766,55,8
254,4095574319,4095574332,106.7289378,-6.2236766,106.7289739,-6.2242483,64,10
255,4095574332,6265384839,106.7289739,-6.2242483,106.7273216,-6.224325,183,27
256,6265384839,3622276780,106.7273216,-6.224325,106.7270576,-6.2243371,29,4
257,3622276780,6330148711,106.7270576,-6.2243371,106.7265398,-6.2243292,57,9
258,6330148711,7284153194,106.7265398,-6.2243292,106.7242461,-6.2242976,254,38
259,7284153194,6265384843,106.7242461,-6.2242976,106.7238055,-6.2242918,49,7
260,6265384843,3622276779,106.7238055,-6.2242918,106.7237278,-6.2242907,9,1
261,3622276779,6265384851,106.7237278,-6.2242907,106.722401,-6.2242421,147,22
262,6265384851,5495320878,106.722401,-6.2242421,106.7218014,-6.2242162,66,10
263,5495320878,11256250641,106.7218014,-6.2242162,106.7217999,-6.2242682,6,1
